date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,sqft_above,sqft_basement,yr_built,yr_renovated,city,age,is_renovated,price_per_sqft,total_rooms,price_log,sqft_living_log,sqft_lot_log,sqft_above_log,sqft_basement_log,city_Seattle,city_Renton,city_Bellevue,city_Redmond,city_Kirkland,city_Issaquah,city_Kent,city_Auburn,city_Sammamish,city_Federal Way
2014-05-02,313000.0,3,1.5,1340.0,7912.0,1.5,0,0,3,1340.0,0.0,1955,2005.0,Shoreline,59,1,233.5820895522388,4.5,12.653961664405365,7.201170883281678,8.976262255609193,7.201170883281678,0.0,0,0,0,0,0,0,0,0,0,0
2014-05-02,1153093.75,5,2.5,3650.0,9050.0,2.0,0,4,5,3370.0,280.0,1921,,Seattle,93,0,315.916095890411,7.5,13.957959972804606,8.202756381655638,9.11063052782717,8.12296471523406,5.638354669333745,1,0,0,0,0,0,0,0,0,0
2014-05-02,342000.0,3,2.0,1930.0,11947.0,1.0,0,0,4,1930.0,0.0,1966,,Kent,48,0,177.2020725388601,5.0,12.742568940017076,7.565793282428515,9.388319179336001,7.565793282428515,0.0,0,0,0,0,0,0,1,0,0,0
2014-05-02,420000.0,3,2.25,2000.0,8030.0,1.0,0,0,4,1000.0,1000.0,1963,,Bellevue,51,0,210.0,5.25,12.948012371209098,7.601402334583733,8.991064332188461,6.90875477931522,6.90875477931522,0,0,1,0,0,0,0,0,0,0
2014-05-02,550000.0,4,2.5,1940.0,10500.0,1.0,0,0,4,1140.0,800.0,1976,1992.0,Redmond,38,1,283.50515463917526,6.5,13.217675375388819,7.57095858316901,9.259225769705994,7.039660349862076,6.68586094706836,0,0,0,1,0,0,0,0,0,0
2014-05-02,490000.0,2,1.0,880.0,6380.0,1.0,0,0,3,880.0,0.0,1938,1994.0,Seattle,76,1,556.8181818181819,3.0,13.102162710901053,6.78105762593618,8.761080103868347,6.78105762593618,0.0,1,0,0,0,0,0,0,0,0,0
2014-05-02,335000.0,2,2.0,1350.0,2560.0,1.0,0,0,3,1350.0,0.0,1976,,Redmond,38,0,248.14814814814815,4.0,12.721888795877375,7.208600337960199,7.848153086199526,7.208600337960199,0.0,0,0,0,1,0,0,0,0,0,0
2014-05-02,482000.0,4,2.5,2710.0,20002.0,2.0,0,0,3,2710.0,0.0,1989,,Maple Valley,25,0,177.85977859778598,6.5,13.085701467719382,7.905072849498666,9.903637541287253,7.905072849498666,0.0,0,0,0,0,0,0,0,0,0,0
2014-05-02,452500.0,3,2.5,2430.0,20002.0,1.0,0,0,4,1570.0,860.0,1985,,North Bend,29,0,186.21399176954733,5.5,13.022545252064427,7.796057974316123,9.903637541287253,7.359467638255621,6.7580945044277305,0,0,0,0,0,0,0,0,0,0
2014-05-02,640000.0,4,2.0,1520.0,6200.0,1.5,0,0,3,1520.0,0.0,1945,2010.0,Seattle,69,1,421.05263157894734,6.0,13.369225017834633,7.327123292259293,8.732465848349879,7.327123292259293,0.0,1,0,0,0,0,0,0,0,0,0
2014-05-02,463000.0,3,1.75,1710.0,7320.0,1.0,0,0,3,1710.0,0.0,1948,1994.0,Lake Forest Park,66,1,270.7602339181287,4.75,13.045484492893253,7.444833273892193,8.898502209646642,7.444833273892193,0.0,0,0,0,0,0,0,0,0,0,0
2014-05-02,1153093.75,4,2.5,2920.0,4000.0,1.5,0,0,5,1910.0,1010.0,1909,1988.0,Seattle,105,1,394.8951198630137,6.5,13.957959972804606,7.979681302387741,8.294299608857235,7.555381944240273,6.918695219020472,1,0,0,0,0,0,0,0,0,0
2014-05-02,588500.0,3,1.75,2330.0,14892.0,1.0,0,0,3,1970.0,360.0,1980,,Sammamish,34,0,252.57510729613733,4.75,13.285333904916369,7.754052639035757,9.608646582885868,7.58629630715272,5.8888779583328805,0,0,0,0,0,0,0,0,1,0
2014-05-02,365000.0,3,1.0,1090.0,6435.0,1.0,0,0,4,1090.0,0.0,1955,2009.0,Seattle,59,1,334.86238532110093,4.0,12.807655372286902,6.994849985833071,8.769662508112274,6.994849985833071,0.0,1,0,0,0,0,0,0,0,0,0
2014-05-02,1153093.75,5,2.75,2910.0,9480.0,1.5,0,0,3,2910.0,0.0,1939,1969.0,Seattle,75,1,396.25214776632305,7.75,13.957959972804606,7.976251943745623,9.15704507491796,7.976251943745623,0.0,1,0,0,0,0,0,0,0,0,0
