date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,sqft_above,sqft_basement,yr_built,yr_renovated,street,statezip,country,view_1,view_2,view_3,view_4,condition_2,condition_3,condition_4,condition_5,city_Kirkland,city_Other,city_Redmond,city_Renton,city_Seattle,Month,Year,House_Age,Years_Since_Renovation,Total_Sqft,Living_Area_Ratio,Bath_Per_Bed,Sqft_Per_Bed,Price_Per_Sqft,Living_Area_Ratio_Log,condition_Log,sqft_above_Log,sqft_lot_Log,Total_Sqft_Log,sqft_living_Log,floors_Log,yr_built_Log,yr_renovated_Log
2014-05-02,313000.0,3,1.5,1340,7912,1.5,0,0,3,1340,0,1955,2005,18810 Densmore Ave N,WA 98133,USA,False,False,False,False,False,True,False,False,False,True,False,False,False,5,2014,59,9,9252,0.16936299292214357,0.5,446.6666666666667,233.5820895522388,0.15645915004878175,1.3862943611198906,7.201170883281678,8.976262255609193,9.13270310224903,7.201170883281678,0.9162907318741551,7.578656850594762,7.603897968521881
2014-05-02,1153093.75,5,2.5,3650,9050,2.0,0,4,5,3370,280,1921,1921,709 W Blaine St,WA 98119,USA,False,False,False,True,False,False,False,True,False,False,False,False,True,5,2014,93,93,12700,0.40331491712707185,0.5,730.0,315.916095890411,0.33883723575271085,1.791759469228055,8.12296471523406,9.11063052782717,9.44943600950432,8.202756381655638,1.0986122886681098,7.561121589530238,7.561121589530238
2014-05-02,342000.0,3,2.0,1930,11947,1.0,0,0,4,1930,0,1966,1966,26206-26214 143rd Ave SE,WA 98042,USA,False,False,False,False,False,False,True,False,False,True,False,False,False,5,2014,48,48,13877,0.16154683184062946,0.6666666666666666,643.3333333333334,177.2020725388601,0.1497525925537867,1.6094379124341003,7.565793282428515,9.388319179336001,9.538060131459494,7.565793282428515,0.6931471805599453,7.584264818389059,7.584264818389059
2014-05-02,420000.0,3,2.25,2000,8030,1.0,0,0,4,1000,1000,1963,1963,857 170th Pl NE,WA 98008,USA,False,False,False,False,False,False,True,False,False,False,False,False,False,5,2014,51,51,10030,0.24906600249066002,0.75,666.6666666666666,210.0,0.22239607401517386,1.6094379124341003,6.90875477931522,8.991064332188461,9.213435576883485,7.601402334583733,0.6931471805599453,7.582738488914411,7.582738488914411
2014-05-02,550000.0,4,2.5,1940,10500,1.0,0,0,4,1140,800,1976,1992,9105 170th Ave NE,WA 98052,USA,False,False,False,False,False,False,True,False,False,False,True,False,False,5,2014,38,22,12440,0.18476190476190477,0.625,485.0,283.50515463917526,0.16954183014755572,1.6094379124341003,7.039660349862076,9.259225769705994,9.42875274891449,7.57095858316901,0.6931471805599453,7.589335823170617,7.597396320212795
2014-05-02,490000.0,2,1.0,880,6380,1.0,0,0,3,880,0,1938,1994,522 NE 88th St,WA 98115,USA,False,False,False,False,False,True,False,False,False,False,False,False,True,5,2014,76,20,7260,0.13793103448275862,0.5,440.0,556.8181818181819,0.1292117314800062,1.3862943611198906,6.78105762593618,8.761080103868347,8.890272839380247,6.78105762593618,0.6931471805599453,7.569927655242652,7.598399329323964
2014-05-02,335000.0,2,2.0,1350,2560,1.0,0,0,3,1350,0,1976,1976,2616 174th Ave NE,WA 98052,USA,False,False,False,False,False,True,False,False,False,False,True,False,False,5,2014,38,38,3910,0.52734375,1.0,675.0,248.14814814814815,0.4235301155058033,1.3862943611198906,7.208600337960199,7.848153086199526,8.271548374755515,7.208600337960199,0.6931471805599453,7.589335823170617,7.589335823170617
2014-05-02,482000.0,4,2.5,2710,20002,2.0,0,0,3,2710,0,1989,1989,23762 SE 253rd Pl,WA 98038,USA,False,False,False,False,False,True,False,False,False,True,False,False,False,5,2014,25,25,22712,0.1354864513548645,0.625,677.5,177.85977859778598,0.12706115061634574,1.3862943611198906,7.905072849498666,9.903637541287253,10.030692726771417,7.905072849498666,1.0986122886681098,7.595889917718538,7.595889917718538
2014-05-02,452500.0,3,2.5,2430,20002,1.0,0,0,4,1570,860,1985,1985,46611-46625 SE 129th St,WA 98045,USA,False,False,False,False,False,False,True,False,False,True,False,False,False,5,2014,29,29,22432,0.12148785121487851,0.8333333333333334,810.0,186.21399176954733,0.11465624229785529,1.6094379124341003,7.359467638255621,9.903637541287253,10.018288368013305,7.796057974316123,0.6931471805599453,7.593877844605118,7.593877844605118
2014-05-02,640000.0,4,2.0,1520,6200,1.5,0,0,3,1520,0,1945,2010,6811 55th Ave NE,WA 98115,USA,False,False,False,False,False,True,False,False,False,False,False,False,True,5,2014,69,4,7720,0.24516129032258063,0.5,380.0,421.05263157894734,0.21926507198563894,1.3862943611198906,7.327123292259293,8.732465848349879,8.951699168308815,7.327123292259293,0.9162907318741551,7.57353126274595,7.606387389772652
2014-05-02,463000.0,3,1.75,1710,7320,1.0,0,0,3,1710,0,1948,1994,Burke-Gilman Trail,WA 98155,USA,False,False,False,False,False,True,False,False,False,True,False,False,False,5,2014,66,20,9030,0.2336065573770492,0.5833333333333334,570.0,270.7602339181287,0.20994203945567388,1.3862943611198906,7.444833273892193,8.898502209646642,9.108418382250798,7.444833273892193,0.6931471805599453,7.575071699507561,7.598399329323964
2014-05-02,1153093.75,4,2.5,2920,4000,1.5,0,0,5,1910,1010,1909,1988,3838-4098 44th Ave NE,WA 98105,USA,False,False,False,False,False,False,False,True,False,False,False,False,True,5,2014,105,26,6920,0.73,0.625,730.0,394.8951198630137,0.5481214085096876,1.791759469228055,7.555381944240273,8.294299608857235,8.842315546841863,7.979681302387741,0.9162907318741551,7.554858521040676,7.5953872788539725
2014-05-02,588500.0,3,1.75,2330,14892,1.0,0,0,3,1970,360,1980,1980,1833 220th Pl NE,WA 98074,USA,False,False,False,False,False,True,False,False,False,True,False,False,False,5,2014,34,34,17222,0.15645984421165726,0.5833333333333334,776.6666666666666,252.57510729613733,0.145363480263503,1.3862943611198906,7.58629630715272,9.608646582885868,9.754000978835746,7.754052639035757,0.6931471805599453,7.591357046698551,7.591357046698551
2014-05-02,365000.0,3,1.0,1090,6435,1.0,0,0,4,1090,0,1955,2009,2504 SW Portland Ct,WA 98106,USA,False,False,False,False,False,False,True,False,False,False,False,False,True,5,2014,59,5,7525,0.16938616938616938,0.3333333333333333,363.3333333333333,334.86238532110093,0.15647896958684943,1.6094379124341003,6.994849985833071,8.769662508112274,8.926118971153382,6.994849985833071,0.6931471805599453,7.578656850594762,7.605890001053122
2014-05-02,1153093.75,5,2.75,2910,9480,1.5,0,0,3,2910,0,1939,1969,3534 46th Ave NE,WA 98105,USA,False,False,False,False,False,True,False,False,False,False,False,False,True,5,2014,75,45,12390,0.3069620253164557,0.55,582.0,396.25214776632305,0.26770537937412064,1.3862943611198906,7.976251943745623,9.15704507491796,9.424725681616493,7.976251943745623,0.9162907318741551,7.570443252057374,7.585788821732034
